Date : 2021-05-25 16:55:04
Directory : c:\Users\TN\nova-cs322
Total : 153 files,  19124 codes, 212 comments, 829 blanks, all 20165 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JSON             |          3 |     14,636 |          0 |          3 |     14,639 |
| JavaScript       |         63 |      2,987 |         90 |        359 |      3,436 |
| Python           |         54 |        916 |         56 |        307 |      1,279 |
| YAML             |          4 |        239 |          5 |         23 |        267 |
| Markdown         |          2 |        111 |          0 |         52 |        163 |
| SCSS             |         17 |         76 |         45 |         32 |        153 |
| Makefile         |          1 |         43 |          2 |         15 |         60 |
| HTML             |          3 |         40 |         11 |         20 |         71 |
| pip requirements |          2 |         38 |          0 |          2 |         40 |
| Docker           |          2 |         23 |          3 |         14 |         40 |
| Properties       |          1 |         12 |          0 |          1 |         13 |
| Ignore           |          1 |          3 |          0 |          1 |          4 |
+------------------+------------+------------+------------+------------+------------+

Directories
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                      | files      | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                         |        153 |     19,124 |        212 |        829 |     20,165 |
| .circleci                                                                                 |          1 |         86 |          5 |          4 |         95 |
| backend                                                                                   |         58 |        972 |         70 |        336 |      1,378 |
| backend\common                                                                            |         12 |        143 |         17 |         59 |        219 |
| backend\common\management                                                                 |          4 |         64 |          8 |         20 |         92 |
| backend\common\management\commands                                                        |          3 |         64 |          8 |         19 |         91 |
| backend\common\utils                                                                      |          2 |         37 |          9 |         19 |         65 |
| backend\course                                                                            |          9 |         99 |          2 |         34 |        135 |
| backend\course\migrations                                                                 |          3 |         36 |          2 |         15 |         53 |
| backend\researcherFormApi                                                                 |          9 |        133 |          2 |         39 |        174 |
| backend\researcherFormApi\migrations                                                      |          3 |         52 |          2 |         15 |         69 |
| backend\sonaCS322                                                                         |         11 |        324 |         29 |        109 |        462 |
| backend\sonaCS322\settings                                                                |          6 |        271 |         20 |         86 |        377 |
| backend\templates                                                                         |          3 |         40 |         11 |         20 |         71 |
| backend\templates\common                                                                  |          1 |         16 |          7 |          8 |         31 |
| backend\templates\includes                                                                |          1 |          4 |          0 |          1 |          5 |
| backend\users                                                                             |         12 |        194 |          5 |         58 |        257 |
